city	country	lat	lon	PM25
NOWY SACZ	Poland	49.617454	20.715333	36
Panaji	India	15.49093	73.82785	36
NIEPOLOMICE	Poland	50.040666	20.222533	36
Daqing	China	46.58931	125.103784	36
Colombo	Sri Lanka	6.927079	79.861243	36
KILIS	Turkey	36.716477	37.114661	36
TUCHOW	Poland	49.89477	21.05416	36
KNUROW	Poland	50.221931	18.670647	36
TRABZON	Turkey	41.002697	39.716763	35
ZABRZE	Poland	50.324928	18.785719	35
Padre las Casas	Chile	-38.7667	-72.6	35
KATOWICE	Poland	50.264892	19.023782	35
WADOWICE	Poland	49.882786	19.493958	35
Shillong	India	25.578773	91.893254	35
NOWA RUDA	Poland	50.579714	16.503709	35
Vishakhapatnam	India	17.686816	83.218482	35
Muscat	Oman	23.58589	58.405923	35
GLIWICE	Poland	50.294492	18.67138	35
Huizhou	China	23.112257	114.415801	35
Qiqihar	China	47.354348	123.918186	35
ERZURUM	Turkey	39.905499	41.265824	35
Osorno	Chile	-40.57619	-73.114947	35
Zhuhai	China	22.270978	113.576678	35
Plovdiv	Bulgaria	42.135408	24.74529	34
Vereeniging	South Africa	-26.596931	27.901465	34
Singrauli	India	24.19921	82.664547	34
SORESINA	Italy	45.287284	9.857631	34
PROSZOWICE	Poland	50.192192	20.289075	34
Dakar	Senegal	14.764504	-17.366029	34
Meizhou	China	24.288615	116.122239	34
Zhangjiakou	China	40.767545	114.886335	34
BRZEZINY	Poland	51.800255	19.751679	34
Bizerte	Tunisia	37.274612	9.862724	34
Kothagudem	India	17.556004	80.614396	34
Shenzhen	China	22.543096	114.057865	34
Kunming	China	24.880095	102.832892	34
BIELSKO BIALA	Poland	49.822377	19.058384	34
KOCAELI	Turkey	40.85327	29.88152	34
Nantou	China	23.960998	120.971864	34
Ruse	Bulgaria	43.835571	25.965655	33
Patiala	India	30.339781	76.38688	33
ZDUNSKA WOLA	Poland	51.599033	18.939325	33
Karamay	China	45.579889	84.889207	33
HAVIROV	Czech Republic	49.780392	18.430625	33
Toluca	Mexico	19.28261	-99.655665	33
CESKY TESIN	Czech Republic	49.747044	18.623796	33
Nellore	India	14.442599	79.986456	33
Santo Domingo	Ecuador	-0.238904	-79.177427	33
Bandung	Indonesia	-6.917464	107.619123	33
Zahle	Lebanon	33.846256	35.901952	33
HASKOVO	Bulgaria	41.934437	25.555446	33
KEDZIERZYN-KOZLE	Poland	50.34988	18.226184	33
Meikhtilar	Myanmar	20.876593	95.860161	33
RAWA MAZOWIECKA	Poland	51.76623	20.25623	33
SOSNOWIEC	Poland	50.286264	19.104079	33
ORLOVA	Czech Republic	49.870138	18.425008	33
Pazarjik	Bulgaria	42.192765	24.333566	33
ISTANBUL	Turkey	41.008238	28.978359	33
SETTIMO TORINESE	Italy	45.139586	7.770978	33
ICEL	Turkey	36.632173	33.617577	32
NAKLO	Poland	50.655454	19.725211	32
KARVINA	Czech Republic	49.856652	18.543219	32
KALISZ	Poland	51.76728	18.085346	32
Maoming	China	21.662999	110.925456	32
